INFO  - 2014-09-22 18:06:07.839; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/extraction/lib/icu4j-53.1.jar' to classloader
INFO  - 2014-09-22 18:06:07.843; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2014-09-22 18:06:07.857; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2014-09-22 18:06:07.860; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2014-09-22 18:06:07.869; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
INFO  - 2014-09-22 18:06:07.880; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2014-09-22 18:06:07.890; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2014-09-22 18:06:07.960; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2014-09-22 18:06:07.989; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2014-09-22 18:06:08.034; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/extraction/lib/poi-3.10.1.jar' to classloader
INFO  - 2014-09-22 18:06:08.063; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/extraction/lib/poi-ooxml-3.10.1.jar' to classloader
INFO  - 2014-09-22 18:06:08.077; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/extraction/lib/poi-ooxml-schemas-3.10.1.jar' to classloader
INFO  - 2014-09-22 18:06:08.091; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/extraction/lib/poi-scratchpad-3.10.1.jar' to classloader
INFO  - 2014-09-22 18:06:08.110; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2014-09-22 18:06:08.140; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2014-09-22 18:06:08.187; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2014-09-22 18:06:08.203; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/extraction/lib/tika-parsers-1.5.jar' to classloader
INFO  - 2014-09-22 18:06:08.210; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2014-09-22 18:06:08.240; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2014-09-22 18:06:08.257; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2014-09-22 18:06:08.264; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2014-09-22 18:06:08.289; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/extraction/lib/xmlbeans-2.6.0.jar' to classloader
INFO  - 2014-09-22 18:06:08.299; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2014-09-22 18:06:08.317; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/extraction/lib/xz-1.4.jar' to classloader
INFO  - 2014-09-22 18:06:08.359; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/dist/solr-cell-4.10.0.jar' to classloader
INFO  - 2014-09-22 18:06:08.398; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2014-09-22 18:06:08.402; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2014-09-22 18:06:08.404; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2014-09-22 18:06:08.407; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2014-09-22 18:06:08.410; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2014-09-22 18:06:08.412; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2014-09-22 18:06:08.415; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2014-09-22 18:06:08.418; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2014-09-22 18:06:08.424; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/dist/solr-clustering-4.10.0.jar' to classloader
INFO  - 2014-09-22 18:06:08.429; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2014-09-22 18:06:08.431; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2014-09-22 18:06:08.437; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/dist/solr-langid-4.10.0.jar' to classloader
INFO  - 2014-09-22 18:06:08.444; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/velocity/lib/commons-beanutils-1.8.3.jar' to classloader
INFO  - 2014-09-22 18:06:08.447; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2014-09-22 18:06:08.452; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2014-09-22 18:06:08.457; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2014-09-22 18:06:08.469; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/dev/solr-4.10.0/solr-4.10.0/dist/solr-velocity-4.10.0.jar' to classloader
INFO  - 2014-09-22 18:06:09.146; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2014-09-22 18:06:09.175; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: 4.10.0
INFO  - 2014-09-22 18:06:09.752; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2014-09-22 18:06:09.770; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2014-09-22 18:06:10.028; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2014-09-22 18:06:12.411; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2014-09-22 18:06:12.473; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2014-09-22 18:06:12.477; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2014-09-22 18:06:12.834; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-09-22 18:06:12.870; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-09-22 18:06:13.402; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir C:\dev\solr-4.10.0\solr-4.10.0\example\solr\collection1\
INFO  - 2014-09-22 18:06:13.484; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2014-09-22 18:06:13.555; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at C:\dev\solr-4.10.0\solr-4.10.0\example\solr\collection1\, dataDir=C:\dev\solr-4.10.0\solr-4.10.0\example\solr\collection1\data\
INFO  - 2014-09-22 18:06:13.589; org.apache.solr.core.JmxMonitoredMap; JMX monitoring is enabled. Adding Solr mbeans to JMX Server: com.sun.jmx.mbeanserver.JmxMBeanServer@175beef
INFO  - 2014-09-22 18:06:13.797; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
