id,make,model,displ,cyl,trans,drive,fuel,salesArea,stnd,stnd_description,underhood_id,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,comb_co2
516,FORD,Transit T350,3.7,6,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,FFMXD03.76BU,special purpose,2,N/A,N/A,N/A,10,No,N/A
517,FORD,Transit T350,3.7,6,SemiAuto-6,2WD,Gasoline,FA,HDV2,HDV2 (Federal HD chassis Class 3 GVW 10001-14000),FFMXD03.77BU,special purpose,1,N/A,N/A,N/A,10,No,N/A
518,FORD,Transit T350,3.7,6,SemiAuto-6,2WD,Gasoline,FA,HDV2,HDV2 (Federal HD chassis Class 3 GVW 10001-14000),FFMXD03.77BU,special purpose,1,N/A,N/A,N/A,10,No,N/A
519,FORD,Transit T350,3.7,6,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,FFMXD03.77BU,special purpose,1,N/A,N/A,N/A,10,No,N/A
520,FORD,Transit T350,3.7,6,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,FFMXD03.77BU,special purpose,1,N/A,N/A,N/A,10,No,N/A
521,FORD,Transit T350 CA,3.2,5,SemiAuto-6,2WD,Diesel,FA,HDV1,HDV1 (Federal HD chassis Class 2b GVW 8501-10000),FFMXD03.26BV,special purpose,1,N/A,N/A,N/A,10,No,N/A
522,FORD,Transit T350 CA,3.2,5,SemiAuto-6,2WD,Diesel,CA,U2,California LEV-II ULEV,FFMXD03.26BV,special purpose,2,N/A,N/A,N/A,10,No,N/A
523,FORD,Transit T350 CA,3.2,5,SemiAuto-6,2WD,Diesel,FA,HDV2,HDV2 (Federal HD chassis Class 3 GVW 10001-14000),FFMXD03.27BV,special purpose,1,N/A,N/A,N/A,10,No,N/A
524,FORD,Transit T350 CA,3.2,5,SemiAuto-6,2WD,Diesel,CA,U2,California LEV-II ULEV,FFMXD03.27BV,special purpose,2,N/A,N/A,N/A,10,No,N/A
525,FORD,Transit T350 CC,3.2,5,SemiAuto-6,2WD,Diesel,FA,HDV1,HDV1 (Federal HD chassis Class 2b GVW 8501-10000),FFMXD03.26BV,special purpose,1,N/A,N/A,N/A,10,No,N/A
526,FORD,Transit T350 CC,3.2,5,SemiAuto-6,2WD,Diesel,CA,U2,California LEV-II ULEV,FFMXD03.26BV,special purpose,2,N/A,N/A,N/A,10,No,N/A
527,FORD,Transit T350 CC,3.2,5,SemiAuto-6,2WD,Diesel,FA,HDV2,HDV2 (Federal HD chassis Class 3 GVW 10001-14000),FFMXD03.27BV,special purpose,1,N/A,N/A,N/A,10,No,N/A
528,FORD,Transit T350 CC,3.2,5,SemiAuto-6,2WD,Diesel,CA,U2,California LEV-II ULEV,FFMXD03.27BV,special purpose,2,N/A,N/A,N/A,10,No,N/A
529,FORD,Transit T350 FFV,3.7,6,SemiAuto-6,2WD,Ethanol/Gas,FC,B8,Federal Tier 2 Bin 8,FFMXT03.76BF,van,2,N/A,N/A,N/A,10,No,N/A
530,FORD,Transit T350 FFV,3.7,6,SemiAuto-6,2WD,Ethanol/Gas,FC,B8,Federal Tier 2 Bin 8,FFMXT03.76BF,van,2,N/A,N/A,N/A,10,No,N/A
531,FORD,Transit T350 FFV,3.7,6,SemiAuto-6,2WD,Ethanol/Gas,FC,B8,Federal Tier 2 Bin 8,FFMXT03.76BF,special purpose,2,N/A,N/A,N/A,10,No,N/A
532,FORD,Transit T350 FFV,3.7,6,SemiAuto-6,2WD,Ethanol/Gas,FC,B8,Federal Tier 2 Bin 8,FFMXT03.76BF,special purpose,2,N/A,N/A,N/A,10,No,N/A
533,GMC,Acadia,3.6,6,Auto-6,4WD,Gasoline,FC,B4,Federal Tier 2 Bin 4,FGMXT03.6151,standard SUV,6,16,23,19,4,No,476
534,GMC,Acadia,3.6,6,Auto-6,2WD,Gasoline,FC,B4,Federal Tier 2 Bin 4,FGMXT03.6151,standard SUV,6,17,24,19,4,No,465
