id,make,model,displ,cyl,trans,drive,fuel,salesArea,stnd,stnd_description,underhood_id,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,comb_co2
417,FORD,F250,6.7,8,SemiAuto-6,2WD,Diesel,CA,U2,California LEV-II ULEV,FFMXD06.761B,special purpose,2,N/A,N/A,N/A,10,No,N/A
418,FORD,F250 FFV,6.2,8,SemiAuto-6,4WD,Ethanol/Gas,FC,B8,Federal Tier 2 Bin 8,FFMXT06.27HL,pickup,2,N/A,N/A,N/A,10,No,N/A
419,FORD,F250 FFV,6.2,8,SemiAuto-6,4WD,Ethanol/Gas,FC,B8,Federal Tier 2 Bin 8,FFMXT06.27HL,special purpose,2,N/A,N/A,N/A,10,No,N/A
420,FORD,F250 FFV,6.2,8,SemiAuto-6,2WD,Ethanol/Gas,FC,B8,Federal Tier 2 Bin 8,FFMXT06.27HL,pickup,2,N/A,N/A,N/A,10,No,N/A
421,FORD,F250 FFV,6.2,8,SemiAuto-6,2WD,Ethanol/Gas,FC,B8,Federal Tier 2 Bin 8,FFMXT06.27HL,special purpose,2,N/A,N/A,N/A,10,No,N/A
422,FORD,F350,6.7,8,SemiAuto-6,4WD,Diesel,FA,HDV1,HDV1 (Federal HD chassis Class 2b GVW 8501-10000),FFMXD06.761B,pickup,1,N/A,N/A,N/A,10,No,N/A
423,FORD,F350,6.7,8,SemiAuto-6,4WD,Diesel,FA,HDV1,HDV1 (Federal HD chassis Class 2b GVW 8501-10000),FFMXD06.761B,special purpose,1,N/A,N/A,N/A,10,No,N/A
424,FORD,F350,6.7,8,SemiAuto-6,4WD,Diesel,CA,U2,California LEV-II ULEV,FFMXD06.761B,pickup,2,N/A,N/A,N/A,10,No,N/A
425,FORD,F350,6.7,8,SemiAuto-6,4WD,Diesel,CA,U2,California LEV-II ULEV,FFMXD06.761B,special purpose,2,N/A,N/A,N/A,10,No,N/A
426,FORD,F350,6.7,8,SemiAuto-6,4WD,Diesel,FA,HDV2,HDV2 (Federal HD chassis Class 3 GVW 10001-14000),FFMXD06.771D,pickup,1,N/A,N/A,N/A,10,No,N/A
427,FORD,F350,6.7,8,SemiAuto-6,4WD,Diesel,FA,HDV2,HDV2 (Federal HD chassis Class 3 GVW 10001-14000),FFMXD06.771D,special purpose,1,N/A,N/A,N/A,10,No,N/A
428,FORD,F350,6.7,8,SemiAuto-6,4WD,Diesel,CA,U2,California LEV-II ULEV,FFMXD06.771D,pickup,2,N/A,N/A,N/A,10,No,N/A
429,FORD,F350,6.7,8,SemiAuto-6,4WD,Diesel,CA,U2,California LEV-II ULEV,FFMXD06.771D,special purpose,2,N/A,N/A,N/A,10,No,N/A
430,FORD,F350,6.7,8,SemiAuto-6,2WD,Diesel,FA,HDV1,HDV1 (Federal HD chassis Class 2b GVW 8501-10000),FFMXD06.761B,pickup,1,N/A,N/A,N/A,10,No,N/A
431,FORD,F350,6.7,8,SemiAuto-6,2WD,Diesel,FA,HDV1,HDV1 (Federal HD chassis Class 2b GVW 8501-10000),FFMXD06.761B,special purpose,1,N/A,N/A,N/A,10,No,N/A
432,FORD,F350,6.7,8,SemiAuto-6,2WD,Diesel,CA,U2,California LEV-II ULEV,FFMXD06.761B,pickup,2,N/A,N/A,N/A,10,No,N/A
433,FORD,F350,6.7,8,SemiAuto-6,2WD,Diesel,CA,U2,California LEV-II ULEV,FFMXD06.761B,special purpose,2,N/A,N/A,N/A,10,No,N/A
434,FORD,F350,6.7,8,SemiAuto-6,2WD,Diesel,FA,HDV2,HDV2 (Federal HD chassis Class 3 GVW 10001-14000),FFMXD06.771D,pickup,1,N/A,N/A,N/A,10,No,N/A
435,FORD,F350,6.7,8,SemiAuto-6,2WD,Diesel,FA,HDV2,HDV2 (Federal HD chassis Class 3 GVW 10001-14000),FFMXD06.771D,special purpose,1,N/A,N/A,N/A,10,No,N/A
436,FORD,F350,6.7,8,SemiAuto-6,2WD,Diesel,CA,U2,California LEV-II ULEV,FFMXD06.771D,pickup,2,N/A,N/A,N/A,10,No,N/A
437,FORD,F350,6.7,8,SemiAuto-6,2WD,Diesel,CA,U2,California LEV-II ULEV,FFMXD06.771D,special purpose,2,N/A,N/A,N/A,10,No,N/A
438,FORD,F350 FFV,6.2,8,SemiAuto-6,4WD,Ethanol/Gas,FC,B8,Federal Tier 2 Bin 8,FFMXT06.27HL,pickup,2,N/A,N/A,N/A,10,No,N/A
439,FORD,F350 FFV,6.2,8,SemiAuto-6,4WD,Ethanol/Gas,FC,B8,Federal Tier 2 Bin 8,FFMXT06.27HL,special purpose,2,N/A,N/A,N/A,10,No,N/A
440,FORD,F350 FFV,6.2,8,SemiAuto-6,2WD,Ethanol/Gas,FC,B8,Federal Tier 2 Bin 8,FFMXT06.27HL,pickup,2,N/A,N/A,N/A,10,No,N/A
441,FORD,F350 FFV,6.2,8,SemiAuto-6,2WD,Ethanol/Gas,FC,B8,Federal Tier 2 Bin 8,FFMXT06.27HL,special purpose,2,N/A,N/A,N/A,10,No,N/A
442,FORD,F450 4X4,6.7,8,SemiAuto-6,4WD,Diesel,FA,HDV2,HDV2 (Federal HD chassis Class 3 GVW 10001-14000),FFMXD06.771D,pickup,1,N/A,N/A,N/A,10,No,N/A
443,FORD,F450 4X4,6.7,8,SemiAuto-6,4WD,Diesel,CA,U2,California LEV-II ULEV,FFMXD06.771D,pickup,2,N/A,N/A,N/A,10,No,N/A
444,FORD,Fiesta,1.6,4,AutoMan-6,2WD,Gasoline,FC,B4,Federal Tier 2 Bin 4,FFMXV01.6VDC,small car,6,27,37,31,8,Yes,289
445,FORD,Fiesta SFE,1,4,Man-5,2WD,Gasoline,FC,B4,Federal Tier 2 Bin 4,FFMXV01.0VD1,small car,6,31,43,36,8,Yes,247
446,FORD,Fiesta SFE,1.6,4,AutoMan-6,2WD,Gasoline,FC,B4,Federal Tier 2 Bin 4,FFMXV01.6VDC,small car,6,28,38,32,8,Yes,281
447,FORD,Fiesta ST,1.6,4,Man-6,2WD,Gasoline,FC,B4,Federal Tier 2 Bin 4,FFMXV01.6VDD,small car,6,26,35,29,7,Yes,301
448,FORD,Fusion,1.5,4,SemiAuto-6,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FFMXV01.5VDG,midsize car,5,24,36,28,7,No,316
449,FORD,Fusion,1.5,4,SemiAuto-6,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FFMXV01.5VDG,midsize car,5,25,37,29,7,No,303
450,FORD,Fusion,1.5,4,SemiAuto-6,2WD,Gasoline,CA,L2,California LEV-II LEV,FFMXV01.5VDG,midsize car,5,24,36,28,7,No,316
451,FORD,Fusion,1.5,4,SemiAuto-6,2WD,Gasoline,CA,L2,California LEV-II LEV,FFMXV01.5VDG,midsize car,5,25,37,29,7,No,303
452,FORD,Fusion,1.5,4,SemiAuto-6,2WD,Gasoline,FA,B3,Federal Tier 2 Bin 3,FFMXV01.5VZ1,midsize car,7,24,36,28,7,Yes,316
453,FORD,Fusion,1.5,4,SemiAuto-6,2WD,Gasoline,FA,B3,Federal Tier 2 Bin 3,FFMXV01.5VZ1,midsize car,7,25,37,29,7,Yes,303
